Nightjar,Caprimulgus europaeus,Chotacabras
Cattle egret,Bubulcus ibis,Garza boyera
Cettis warbler,Cettia cetti,Ruiseñor bastardo
Flamingo,Phoenicopterus ruber,Flamenco
Sardinian warbler,Sylvia melanocephala,Curruca cabezinegra
Willow warbler,Phylloscopus trochilius,Mosquitero musical
Egyptian vulture,Neophron percnopterus,Alimoche
Tawny owl,Strix aluco,Cárabo común 
Cormorant,Phalacrocorax carbo,Cormorán 
Black kite,Milvus migrans,Milano negro
Eagle owl ,Bubo bubo,Búho real
Hoopoe,Upupa epops,Abubilla
Spanish imperial eagle,Aquila adalberti,Águila Imperial Ibérica
Crane,Grus grus,Grulla común
Booted eagle ,Hieraaetus pennatus,Águila calzada
White stork,Ciconia ciconia,Cigueña blanca
White wagtail,Motocilla alba,Lavandera 
Alpine swift,Tachymarptis melba,Vencejo real
Nightingale ,Luscinia megarhynchos,Ruiseñor común
Bee-eater,Merops apiaster,Abejaruco 
Black stork,Ciconia nigra,Cigueña negra
Collarded pratincole,Glareola pratincola,Canastera común 
Glossy ibis ,Plegadis falcinellus,Morito común 
Woodchat shrike,Lanius senator,Alcaudón
